"FILE PATH","TOTAL QUERY COUNT","SELECT COUNT","INSERT COUNT","UPDATE COUNT","DELETE COUNT"
"C:\Users\saipr\OneDrive\Documents\workspace-spring-tool-suite-4-4.24.0.RELEASE\gitPractice\src\main\java\redoc\repo\EmployeeRepo.java","1","1","0","0","0"
"C:\Users\saipr\OneDrive\Documents\workspace-spring-tool-suite-4-4.24.0.RELEASE\gitPractice\custom_queries.sql","3","3","0","0","0"
